"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"co244","Herbário IBGE","","Records provided by Herbário IBGE, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co244","","","","1120"
"co123","Coleção Carcinológica do MZUSP","","Records provided by Coleção Carcinológica do MZUSP, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co123","","","","45"
"co486","Herbário de Ilha Solteira","","Records provided by Herbário de Ilha Solteira, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co486","","","","3"
"co124","Coleção Zoológica da Universidade Federal de Mato Grosso do Sul","","Records provided by Coleção Zoológica da Universidade Federal de Mato Grosso do Sul, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co124","","","","1"
"co121","Coleção de Malacologia do MZUSP","","Records provided by Coleção de Malacologia do MZUSP, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co121","","","","1441"
"co122","Coleção Mastozoológica do MZUSP","","Records provided by Coleção Mastozoológica do MZUSP, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co122","","","","3"
"dp20","Centro de Referência em Informação Ambiental","","Records provided by Centro de Referência em Informação Ambiental, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dp20","","","","58846"
"co120","Coleção Herpetológica do MZUSP","","Records provided by Coleção Herpetológica do MZUSP, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co120","","","","172"
"co30","Herbário Rondoniense João Geraldo Kuhlmann","","Records provided by Herbário Rondoniense João Geraldo Kuhlmann, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co30","","","","7"
"co127","Herbário do Departamento de Botânica","","Records provided by Herbário do Departamento de Botânica, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co127","","","","3988"
"co125","Herbário RB","","Records provided by Herbário RB, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co125","","","","9244"
"co126","Herbário Lauro Pires Xavier","","Records provided by Herbário Lauro Pires Xavier, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co126","","","","14"
"dr311","Herbário Escola de Florestas Curitiba","","Herbário Escola de Florestas Curitiba, EFC","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr311","","","","10086"
"dr553","Coleção de Peixes do Museu de Zoologia da UNICAMP","","Museu de Zoologia/Universidade Estadual de Campinas - ZUEC Coleção de Peixes/Fish Collection","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr553","","","","4"
"dr431","Coleção Entomológica Prof. J.M.F. Camargo, FFCLRP/USP","","Coleção Entomológica Prof. J.M.F. Camargo (RPSP), FFCLRP/USP","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr431","","","","102"
"dr310","Herbário do Instituto Federal de Educação, Ciência e Tecnologia do Amazonas","","Herbário do Instituto Federal de Educação, Ciência e Tecnologia do Amazonas - EAFM","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr310","","","","7"
"dr434","Herbarium Anchieta","","PACA-AGP - Herbarium Anchieta","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr434","","","","1655"
"dr313","Herbário de São José do Rio Preto","","Herbário de São José do Rio Preto, SJRP","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr313","","","","225"
"dr555","Coleção de Répteis do Museu de Zoologia da UNICAMP","","Museu de Zoologia/Universidade Estadual de Campinas - ZUEC / REPTEIS","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr555","","","","40"
"dr433","Coleção de Abelhas","","Coleção de Abelhas do Museu de Ciências e Tecnologia da PUCRS","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr433","","","","3945"
"dr796","Coleção de Répteis do Museu Nacional (MNRJ)","","Herpetologia, Museu Nacional, UFRJ (2014). Catálogo de exemplares de répteis depositados na coleção do Museu Nacional, UFRJ (atualizado em 28/janeiro/2016).","This [Coleção de Répteis do Museu Nacional (MNRJ)] is made available under the Open Data Commons Attribution License: http://www.opendatacommons.org/licenses/by/1.0/.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr796","","","","131"
"dr312","EAN - Herbário Jaime Coelho de Moraes","","Herbário Prof. Jayme Coelho de Moraes, EAN","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr312","","","","19"
"dr554","Coleção de Polychaeta do Museu de Zoologia da UNICAMP","","Museu de Zoologia/Universidade Estadual de Campinas - ZUEC POLYCHAETA","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr554","","","","7"
"dr790","Coleção de Anfíbios do Museu Nacional (MNRJ)","","Herpetologia, Museu Nacional, UFRJ (2014). Catálogo de exemplares de anfíbios depositados na coleção do Museu Nacional, UFRJ (atualizado em 10/fevereiro/2017).","This [Coleção de Anfíbios do Museu Nacional (MNRJ)] is made available under the Open Data Commons Attribution License: http://www.opendatacommons.org/licenses/by/1.0/.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr790","","","","933"
"dr793","Coleção de Cnidaria do Museu Nacional (MNRJ)","","MNRJ(2015) Coleção de Cnidaria do Museu Nacional da Universidade Federal do Rio de Janeiro (Hexacorallia e Octocorallia), 7679 registros (atualizado em 15/12/2016).","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr793","","","","3"
"dr550","Coleção de Mamíferos do Museu de Zoologia da UNICAMP","","Museu de Zoologia/Universidade Estadual de Campinas - ZUEC Coleção de Mamíferos/Mammals Collection","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr550","","","","15"
"co39","Coleção de Flebotomíneos","","Records provided by Coleção de Flebotomíneos, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co39","","","","892"
"dr315","Herbário da Reserva Natural Vale","","Herbário CVRD - Reserva Natural Vale","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr315","","","","1"
"dr314","CRI - Herbário da Universidade do Extremo Sul Catarinense. Jabot - Banco de Dados da Flora Brasileira","","Alves Elias G, Ghislandi B (2023). CRI - Herbário da Universidade do Extremo Sul Catarinense. Jabot - Banco de Dados da Flora Brasileira. Version 1.42. No organisation. Occurrence dataset. https://ipt.jbrj.gov.br/jabot/resource?r=cri&v=1.42","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr314","","","","2676"
"dp28","Sistema de Gerenciamento de Coleções Botânicas - JABOT","","Records provided by Sistema de Gerenciamento de Coleções Botânicas - JABOT, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dp28","","","","44709"
"dr559","SHPR - Herbário da Universidade Tecnológica Federal do Paraná. Jabot - Banco de Dados da Flora Brasileira","","Santos L B D, Toderke M (2022): SHPR - Herbário da Universidade Tecnológica Federal do Paraná. Jabot - Banco de Dados da Flora Brasileira. v1.10. No organisation. Dataset/Occurrence. http://ipt.jbrj.gov.br/jabot/resource?r=shpr&v=1.10","Creative Commons Attribution (CC-BY) This work is licensed under a Creative Commons Attribution (CC-BY) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr559","","","","238"
"dr317","Herbário Rosa Mochel","","Herbário Rosa Mochel, SLUI","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr317","","","","66"
"dr316","Herbário do Centro de Ciências e Tecnologias para a Sustentabilidade","","Herbário do Centro de Ciências e Tecnologias para a Sustentabilidade, CCTS","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr316","","","","116"
